Tue Mar 22 2022 21:47:25 GMT+0800 (Malaysia Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":240,"status":true} | 
Thu Mar 24 2022 09:46:30 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:46:54 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:47:09 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:47:12 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:55:04 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:58:20 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:58:20 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 09:58:21 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:02:26 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:02:27 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:03:26 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:03:27 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:04:21 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:04:22 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:04:22 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:04:22 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:05:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:05:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:27 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:27 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:40 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:40 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:42 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:43 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:52 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:10:52 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:24 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:24 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:55 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:56 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:56 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 10:11:57 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:04:03 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:04:03 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:05:28 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:05:28 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:05:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:05:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:04 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:15 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:06:15 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:23 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:24 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:33 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:33 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:34 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 11:09:35 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:09:39 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 11:09:39 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:10:07 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:10:07 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:10:12 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 11:10:12 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:10:14 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 11:10:14 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 11:27:01 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /createUser | data:{"message":"API Done","main":{"employeeID":"201545"},"status":true} | 
Thu Mar 24 2022 11:27:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:27:05 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:27:40 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID 201545.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:27:53 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID 201545.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktan@greatech-group.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:28:04 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:28:04 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:29:32 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:29:32 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:34:19 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:34:19 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":73,"status":true} | 
Thu Mar 24 2022 11:34:50 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:35:08 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:35:13 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:39:37 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 11:39:39 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Electrical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"User"},"status":false} | 
Thu Mar 24 2022 13:54:42 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 13:54:42 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":72,"status":true} | 
Thu Mar 24 2022 13:59:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":69,"status":true} | 
Thu Mar 24 2022 13:59:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":69,"status":true} | 
Thu Mar 24 2022 14:03:26 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:05:23 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:06:50 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:06:54 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:07:01 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:07:10 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:07:11 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:07:36 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:12 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:16 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:12:16 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:18 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:12:19 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:28 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:31 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:12:31 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:12:34 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:12:34 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:18:52 GMT+0800 (China Standard Time) | ERROR | users-api.log | API: /createUser | data:{"message":"API Error: Redundant on Employee ID/Email 201545 derricktpl@derrickwebdev.com.","value":{"section":"Mechanical","employeeID":"201545","fullname":"Derrick Tan Poh Leng","name":"Derrick Tan Poh Leng","email":"derricktpl@derrickwebdev.com","role":"Admin"},"status":false} | 
Thu Mar 24 2022 14:18:57 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:19:08 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:23:25 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllAdmins | data:{"message":"API Done","total":9,"status":true} | 
Thu Mar 24 2022 14:25:22 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:25:22 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:25:24 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:27:43 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:27:43 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:27:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:27:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:32:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:32:46 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:38:07 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:38:08 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllSuperAdmins | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 24 2022 14:39:16 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":69,"status":true} | 
Thu Mar 24 2022 14:39:17 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllUsers | data:{"message":"API Done","total":69,"status":true} | 
Thu Mar 24 2022 14:39:19 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:39:26 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:39:30 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:39:32 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:39:32 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:39:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /deleteUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:39:37 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:39:41 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /recoverUsers | data:{"message":"API Done","main":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":2,"warningCount":0,"message":"(Rows matched: 1  Changed: 1  Warnings: 0","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Thu Mar 24 2022 14:39:47 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:39:49 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
Thu Mar 24 2022 14:40:14 GMT+0800 (China Standard Time) | INFO | users-api.log | API: /getAllViewers | data:{"message":"API Done","total":155,"status":true} | 
